date,day,district,month,pet_mm,precip_mm,year
2018-04-10,10,Itezhi-Tezhi,4,-5.606977288661406,-999.0,2018
2018-04-11,11,Itezhi-Tezhi,4,-6.089976084487878,0.1433974754336758,2018
2018-04-12,12,Itezhi-Tezhi,4,-6.5183371920177615,-999.0,2018
2018-04-13,13,Itezhi-Tezhi,4,-6.36126691430418,-999.0,2018
2018-04-14,14,Itezhi-Tezhi,4,-6.472557870346494,-999.0,2018
2018-04-15,15,Itezhi-Tezhi,4,-7.0705283472195095,-999.0,2018
2018-04-16,16,Itezhi-Tezhi,4,-7.158553459837087,-999.0,2018
2018-04-17,17,Itezhi-Tezhi,4,-6.736138454540024,-999.0,2018
2018-04-18,18,Itezhi-Tezhi,4,-7.328789481601588,-999.0,2018
2018-04-19,19,Itezhi-Tezhi,4,-6.79104303610981,-999.0,2018
2018-04-20,20,Itezhi-Tezhi,4,-7.654797497033768,-999.0,2018
2018-04-21,21,Itezhi-Tezhi,4,-7.270967389936663,-999.0,2018
2018-04-22,22,Itezhi-Tezhi,4,-6.392116015034691,-999.0,2018
2018-04-23,23,Itezhi-Tezhi,4,-6.603501180845243,-999.0,2018
2018-04-24,24,Itezhi-Tezhi,4,-7.698139496145655,-999.0,2018
2018-04-25,25,Itezhi-Tezhi,4,-8.943531178782719,-999.0,2018
2018-04-26,26,Itezhi-Tezhi,4,-9.22653227591934,-999.0,2018
2018-04-27,27,Itezhi-Tezhi,4,-7.744437457361281,-999.0,2018
2018-04-28,28,Itezhi-Tezhi,4,-8.470011354406672,-999.0,2018
2018-04-29,29,Itezhi-Tezhi,4,-7.310530469640993,-999.0,2018
2018-04-30,30,Itezhi-Tezhi,4,-7.968174230749043,-999.0,2018
2018-05-01,1,Itezhi-Tezhi,5,-7.803669619902264,0.8171488255852144,2018
2018-05-02,2,Itezhi-Tezhi,5,-7.325624685960908,-999.0,2018
2018-05-03,3,Itezhi-Tezhi,5,-6.956495839615918,0.4254677152311621,2018
2018-05-04,4,Itezhi-Tezhi,5,-6.466660073527758,0.7813252663334266,2018
2018-05-05,5,Itezhi-Tezhi,5,-6.72768449430404,1.5445742956136197,2018
2018-05-06,6,Itezhi-Tezhi,5,-7.415739354364074,0.0316621622433618,2018
2018-05-07,7,Itezhi-Tezhi,5,-7.489366355860618,-999.0,2018
2018-05-08,8,Itezhi-Tezhi,5,-7.299314973775314,0.0655178210105083,2018
2018-05-09,9,Itezhi-Tezhi,5,-7.465084814392249,-999.0,2018
2018-05-10,10,Itezhi-Tezhi,5,-8.136174816236078,-999.0,2018
2018-05-11,11,Itezhi-Tezhi,5,-7.640008145957948,-999.0,2018
2018-05-12,12,Itezhi-Tezhi,5,-6.908138528739965,0.0062521193106741,2018
2018-05-13,13,Itezhi-Tezhi,5,-6.798831987703673,0.0694169604279401,2018
2018-05-14,14,Itezhi-Tezhi,5,-7.214165143972931,0.0206856587654783,2018
2018-05-15,15,Itezhi-Tezhi,5,-7.39515251962964,0.3081805758562991,2018
2018-05-16,16,Itezhi-Tezhi,5,-7.458362423747579,0.0103230334025776,2018
2018-05-17,17,Itezhi-Tezhi,5,-6.734231336588945,-999.0,2018
2018-05-18,18,Itezhi-Tezhi,5,-7.855770434388167,-999.0,2018
2018-05-19,19,Itezhi-Tezhi,5,-8.348643471959296,0.0017481603346483,2018
2018-05-20,20,Itezhi-Tezhi,5,-8.79480401609583,-999.0,2018
2018-05-21,21,Itezhi-Tezhi,5,-8.855698848647368,-999.0,2018
2018-05-22,22,Itezhi-Tezhi,5,-8.469981974122012,-999.0,2018
2018-05-23,23,Itezhi-Tezhi,5,-8.606487232123452,-999.0,2018
2018-05-24,24,Itezhi-Tezhi,5,-8.536213968228491,0.0002648638399917134,2018
2018-05-25,25,Itezhi-Tezhi,5,-7.230918059941222,-999.0,2018
2018-05-26,26,Itezhi-Tezhi,5,-7.575290107939363,-999.0,2018
2018-05-27,27,Itezhi-Tezhi,5,-7.139135048294736,-999.0,2018
2018-05-28,28,Itezhi-Tezhi,5,-7.512537960963913,-999.0,2018
2018-05-29,29,Itezhi-Tezhi,5,-7.658394714811089,-999.0,2018
2018-05-30,30,Itezhi-Tezhi,5,-8.226077642353411,-999.0,2018
2018-05-31,31,Itezhi-Tezhi,5,-8.673298813426165,-999.0,2018
2018-06-01,1,Itezhi-Tezhi,6,-8.502588175419307,-999.0,2018
2018-06-02,2,Itezhi-Tezhi,6,-9.205505663157036,-999.0,2018
2018-06-03,3,Itezhi-Tezhi,6,-8.025005041262887,-999.0,2018
2018-06-04,4,Itezhi-Tezhi,6,-9.51463752035558,-999.0,2018
2018-06-05,5,Itezhi-Tezhi,6,-9.399070843891204,-999.0,2018
2018-06-06,6,Itezhi-Tezhi,6,-8.474604425227332,-999.0,2018
2018-06-07,7,Itezhi-Tezhi,6,-7.1757058691132,-999.0,2018
2018-06-08,8,Itezhi-Tezhi,6,-7.540686652549848,-999.0,2018
2018-06-09,9,Itezhi-Tezhi,6,-8.339314944105125,-999.0,2018
2018-06-10,10,Itezhi-Tezhi,6,-8.449846535646035,-999.0,2018
2018-06-11,11,Itezhi-Tezhi,6,-8.912139104660715,-999.0,2018
2018-06-12,12,Itezhi-Tezhi,6,-8.947108274961368,-999.0,2018
2018-06-13,13,Itezhi-Tezhi,6,-8.218392317827545,-999.0,2018
2018-06-14,14,Itezhi-Tezhi,6,-6.987812000114281,-999.0,2018
